i		j				x				y				z
0		0				1.2				0				1
0		1				1.18				0.208				1
0		2				1.13				0.41				1
0		3				1.04				0.6				1
0		4				0.919				0.771				1
0		5				0.771				0.919				1
0		6				0.6				1.04				1
0		7				0.41				1.13				1
0		8				0.208				1.18				1
0		9				-5.25e-08				1.2				1
0		10				-0.208				1.18				1
0		11				-0.41				1.13				1
0		12				-0.6				1.04				1
0		13				-0.771				0.919				1
0		14				-0.919				0.771				1
0		15				-1.04				0.6				1
0		16				-1.13				0.41				1
0		17				-1.18				0.208				1
0		18				-1.2				-1.05e-07				1
0		19				-1.18				-0.208				1
0		20				-1.13				-0.41				1
0		21				-1.04				-0.6				1
0		22				-0.919				-0.771				1
0		23				-0.771				-0.919				1
0		24				-0.6				-1.04				1
0		25				-0.41				-1.13				1
0		26				-0.208				-1.18				1
0		27				5.87e-07				-1.2				1
0		28				0.208				-1.18				1
0		29				0.41				-1.13				1
0		30				0.6				-1.04				1
0		31				0.771				-0.919				1
0		32				0.919				-0.771				1
0		33				1.04				-0.6				1
0		34				1.13				-0.41				1
0		35				1.18				-0.208				1
0		36				1.2				2.1e-07				1
0		0				1.2				0				0.5
0		1				1.18				0.208				0.5
0		2				1.13				0.41				0.5
0		3				1.04				0.6				0.5
0		4				0.919				0.771				0.5
0		5				0.771				0.919				0.5
0		6				0.6				1.04				0.5
0		7				0.41				1.13				0.5
0		8				0.208				1.18				0.5
0		9				-5.25e-08				1.2				0.5
0		10				-0.208				1.18				0.5
0		11				-0.41				1.13				0.5
0		12				-0.6				1.04				0.5
0		13				-0.771				0.919				0.5
0		14				-0.919				0.771				0.5
0		15				-1.04				0.6				0.5
0		16				-1.13				0.41				0.5
0		17				-1.18				0.208				0.5
0		18				-1.2				-1.05e-07				0.5
0		19				-1.18				-0.208				0.5
0		20				-1.13				-0.41				0.5
0		21				-1.04				-0.6				0.5
0		22				-0.919				-0.771				0.5
0		23				-0.771				-0.919				0.5
0		24				-0.6				-1.04				0.5
0		25				-0.41				-1.13				0.5
0		26				-0.208				-1.18				0.5
0		27				5.87e-07				-1.2				0.5
0		28				0.208				-1.18				0.5
0		29				0.41				-1.13				0.5
0		30				0.6				-1.04				0.5
0		31				0.771				-0.919				0.5
0		32				0.919				-0.771				0.5
0		33				1.04				-0.6				0.5
0		34				1.13				-0.41				0.5
0		35				1.18				-0.208				0.5
0		36				1.2				2.1e-07				0.5
0		0				1.2				0				0
0		1				1.18				0.208				0
0		2				1.13				0.41				0
0		3				1.04				0.6				0
0		4				0.919				0.771				0
0		5				0.771				0.919				0
0		6				0.6				1.04				0
0		7				0.41				1.13				0
0		8				0.208				1.18				0
